id;name;grams;kcal;proteins;fat;carbs;status
414;Ryz bialy;100;349;6.7;0.7;78.9;unconfirmed
415;Ryz brazowy;100;353;7.1;1.9;76.8;unconfirmed
416;Ryz dziki amerykanski;100;351;13.8;0.4;73;unconfirmed
417;Ryz preparowany;100;376;6.3;1.6;84.1;unconfirmed
418;Rzezucha;100;15;2.3;0.1;1.3;unconfirmed
419;Rzodkiewka;100;21;0.8;0.4;3.6;unconfirmed
420;Salceson czarny;100;340;12.6;32;0.5;unconfirmed
421;Salceson wloski;100;322;14.6;29.3;0;unconfirmed
422;Salata;100;20;1.4;0.3;2.9;unconfirmed
423;Sandacz swiezy;100;80;18.3;0.3;0.9;unconfirmed
424;Sardynki w oleju. konserwa;100;202;24;11.5;0;unconfirmed
425;Sardynki w sosie pomidorowym. konserwa;100;163;17;9.9;1.4;unconfirmed
426;Sarnina;100;102;20.8;1.9;0.4;unconfirmed
427;Schab surowy wieprzowy;100;174;21;10;0;unconfirmed
428;Schab wedzony;100;136;25;4;0;unconfirmed
429;Seler korzen;100;61;1.3;0.2;13.6;unconfirmed
430;Ser Feta;100;216;17;16;1;unconfirmed
431;Ser plesniowy Brie pelnotlusty;100;293;18;24.5;0;unconfirmed
432;Ser plesniowy Rokpol pelnotlusty;100;354;22.6;29.3;0;unconfirmed
433;Ser podpuszczkowy Brie pelnotlusty;100;332;19.8;28;0.2;unconfirmed
434;Ser podpuszczkowy Camembert tlusty;100;263;19.3;19.8;1.9;unconfirmed
435;Ser podpuszczkowy Cheddar pelnotlusty;100;382;27.1;29.3;2.5;unconfirmed
436;Ser podpuszczkowy Ementaler pelnotlusty;100;383;28.8;29.7;0.1;unconfirmed
437;Ser podpuszczkowy Ementaler tlusty;100;330;28.8;23.2;1.5;unconfirmed
438;Ser podpuszczkowy Gouda tlusty;100;314;27.9;22;1;unconfirmed
439;Ser podpuszczkowy Mozarella tlusty;100;224;20;16;0;unconfirmed
440;Ser podpuszczkowy Mysliwski pelnotlusty;100;349;25.5;27.4;0.1;unconfirmed
441;Ser podpuszczkowy Parmezan;100;408;35.1;29.7;0.1;unconfirmed
442;Ser podpuszczkowy Salami pelnotlusty;100;354;25.2;28.1;0.1;unconfirmed
443;Ser podpuszczkowy Salami tlusty;100;329;29.5;22.1;3.1;unconfirmed
444;Ser podpuszczkowy Tylzycki pelnotlusty;100;356;26.1;27.9;0.1;unconfirmed
445;Ser podpuszczkowy Tylzycki tlusty;100;327;27.8;23;2.1;unconfirmed
446;Ser topiony tlusty;100;222;18;16;1.6;unconfirmed
447;Ser twarogowy chudy;100;98;19.8;0.5;3.5;unconfirmed
448;Ser twarogowy poltlusty;100;132;18.7;4.7;3.7;unconfirmed
449;Ser twarogowy pelnotlusty;100;176;17.7;10.1;3.5;unconfirmed
450;Serca wieprzowe;100;111;16.9;4.8;0;unconfirmed
451;Serdelki drobiowe;100;239;13.9;19.5;1.9;unconfirmed
452;Serek Fromage naturalny;100;384;10.2;37.1;2.4;unconfirmed
453;Serek homogenizowany truskawkowy;100;167;15.3;3.9;17.7;unconfirmed
454;Serek homogenizowany waniliowy;100;158;16.8;4.2;13.3;unconfirmed
455;Serek twarogowy ziarnisty;100;101;12.3;4.3;3.3;unconfirmed
456;Sernik;100;273;10;9;38;unconfirmed
457;Sernik z rodzynkami. ciasto;100;342;14.6;13.9;39.6;unconfirmed
458;Serwatka plynna;100;25;0.8;0.1;5.1;unconfirmed
459;Sezamki;100;511;13.4;25.8;56.2;unconfirmed
460;Skrobia kukurydziana;100;367;0.3;0.1;91.3;unconfirmed
461;Skrzydlo bez skory indycze;100;169;16.5;11.4;0;unconfirmed
462;Slonecznik ziarno;100;580;22.5;49;12.3;unconfirmed
463;Slonina;100;811;2.4;89;0;unconfirmed
464;Smalec;100;896;0;99.5;0;unconfirmed
465;Snickers. baton;100;509;9.7;28.9;52.6;unconfirmed
466;Soczewica. suche ziarno;100;347;25;1;59.5;unconfirmed
467;Soja. suche ziarno;100;442;34.9;18.1;34.8;unconfirmed
468;Sola swieza;100;83;17.5;1.4;0;unconfirmed
469;Sok ananasowy;100;48;0.3;0.1;11.4;unconfirmed
470;Sok grejfrutowy;100;35;0.6;0.2;7.8;unconfirmed
471;Sok jablkowy;100;45;0.4;0.4;10;unconfirmed
472;Sok marchwiowy;100;48;0.4;0.1;11.3;unconfirmed
473;Sok pomaranczowy;100;45;0.5;0.1;10.5;unconfirmed
474;Sok pomidorowy;100;19;0.8;0.6;2.6;unconfirmed
475;Sok z czarnej porzeczki;100;45;0.3;0.3;10.2;unconfirmed
476;Sprite. napoj;100;42;0;0;10.5;unconfirmed
477;Syrop truskawkowy;100;262;0.2;0.1;62;unconfirmed
478;Szampan polslodki;100;97;0.2;0;7;unconfirmed
479;Szampan polwytrawny;100;83;0.1;0;3.4;unconfirmed
480;Szampan slodki;100;117;0.2;0;12;unconfirmed
481;Szczaw;100;39;1.1;0.8;3.9;unconfirmed
482;Szczupak swiezy;100;81;18.4;0.8;0;unconfirmed
483;Szczypiorek;100;39;4.1;0.8;3.9;unconfirmed
484;Szparagi;100;24;1.9;0.2;3.7;unconfirmed
485;Szpinak;100;26;2.6;0.4;3;unconfirmed
486;Szponder wolowy;100;218;19.3;15.7;0;unconfirmed
487;Szprot wedzony;100;243;19.3;18.3;0;unconfirmed
488;Szynka surowa wieprzowa;100;264;18;21.3;0;unconfirmed
489;Szynka wedzona gotowana;100;389;23;33;0;unconfirmed
490;smietana 12% tluszczu;100;134;2.7;12;3.9;unconfirmed
491;smietana 18% tluszczu;100;186;2.5;18;3.6;unconfirmed
492;smietanka do kawy 9% tluszczu;100;54;2.8;9;4;unconfirmed
493;smietanka kremowa 30% tluszczu;100;291;2.2;30;3.1;unconfirmed
494;sledz solony;100;218;19.8;15.4;0;unconfirmed
495;sledz swiezy;100;162;16.3;10.7;0;unconfirmed
496;sledz w oleju. konserwa;100;343;19.7;29.4;0;unconfirmed
497;sledz w pomidorach. konserwa;100;177;13.7;12.8;1.8;unconfirmed
498;sliwki;100;70;1;0.3;15.9;unconfirmed
499;sliwki suszone;100;311;4.9;0.9;70.8;unconfirmed
500;Teatralny. wafel;100;546;8;31;58;unconfirmed
501;Tic Tac. drazetki;100;390;0;0;97.5;unconfirmed
502;Tluszcz roslinny Planta;100;900;0;100;0;unconfirmed
503;Toffifee. czekoladka;100;535;6;31;58;unconfirmed
504;Tran;100;900;0;100;0;unconfirmed
505;Truskawki;100;36;0.7;0.5;7.2;unconfirmed
506;Tunczyk swiezy;100;97;22;1;0;unconfirmed
507;Tunczyk w oleju. konserwa;100;189;27.1;9;0;unconfirmed
508;Twix. baton;100;487;5.3;23.2;64.2;unconfirmed
509;Udo bez skory z kurczaka;100;125;17.8;6;0;unconfirmed
510;Udo ze skora z kurczaka;100;161;17.8;10;0;unconfirmed
511;Udziec barani;100;234;18;18;0;unconfirmed
512;Udziec cielecy;100;108;19.9;3.1;0;unconfirmed
513;Wafel Familijne;100;533;7.1;29.6;59.5;unconfirmed
514;Wafel Grzeski;100;550;8.5;34.5;51.2;unconfirmed
515;Wafel Kinder Bueno;100;532;5.5;35.5;47.6;unconfirmed
516;Wafel Prince Polo;100;534;4.8;31.5;57.5;unconfirmed
517;Wafel Princessa;100;562;4.1;34.6;58.4;unconfirmed
518;Wafel Teatralny;100;546;8;31;58;unconfirmed
519;Wasa. pieczywo chrupkie pszenne;100;360;12;2.2;73;unconfirmed
520;Watroba drobiowa;100;136;19.1;6.3;0.6;unconfirmed
521;Watroba wieprzowa;100;129;19.7;4.8;1.7;unconfirmed
522;Watroba wolowa;100;124;20;3.1;4;unconfirmed
523;Wermut. wino;100;104;0;0;7.9;unconfirmed
524;Wegorz swiezy;100;281;12.7;25.6;0;unconfirmed
525;Wegorz wedzony;100;329;17.9;28.6;0;unconfirmed
526;Whisky;100;225;0;0;0;unconfirmed
527;Wieprzowina. boczek;100;517;10.1;53;0;unconfirmed
528;Wieprzowina. golonka ze skora;100;297;18.6;24.7;0;unconfirmed
529;Wieprzowina. karkowka;100;270;16.1;22.8;0;unconfirmed
530;Wieprzowina. lopatka;100;259;16;21.7;0;unconfirmed
531;Wieprzowina. mieso bez kosci. srednio;100;264;18;21.3;0;unconfirmed
532;Wieprzowina. mieso z koscia. srednio;100;329;15.4;29.7;0;unconfirmed
533;Wieprzowina. schab surowy;100;174;21;10;0;unconfirmed
534;Wieprzowina. szynka surowa;100;264;18;21.3;0;unconfirmed
535;Wieprzowina. zeberka;100;324;15.2;29.3;0;unconfirmed
536;Wino biale polslodkie;100;92;0;0;4.4;unconfirmed
537;Wino biale polwytrawne;100;78;0;0;3.7;unconfirmed
538;Wino biale wytrawne;100;73;0;0;2.4;unconfirmed
539;Wino czerwone polslodkie;100;96;0;0;5.5;unconfirmed
540;Wino czerwone slodkie;100;106;0.1;0;8.2;unconfirmed
541;Wino czerwone wytrawne;100;75;0;0;3;unconfirmed
542;Winogrona;100;74;0.5;0.2;17.6;unconfirmed
543;Wiorki kokosowe;100;606;5.6;62;6.4;unconfirmed
544;Wisnie;100;67;1.2;0.4;14.6;unconfirmed
545;Wolowina. mieso bez kosci. srednio;100;116;20.9;3.6;0;unconfirmed
546;Wolowina. mieso z koscia. srednio;100;149;18.6;8.3;0;unconfirmed
547;Wolowina. poledwica;100;112;20.1;3.5;0;unconfirmed
548;Wolowina. pieczen;100;116;20.9;3.6;0;unconfirmed
549;Wolowina. rostbef;100;152;21.5;7.3;0;unconfirmed
550;Wolowina. rozbratel;100;158;16.7;10.1;0;unconfirmed
551;Wolowina. szponder;100;218;19.3;15.7;0;unconfirmed
552;Wodka. srednio;100;225;0;0;0;unconfirmed
553;Zarodki pszenne;100;377;27.5;9.4;45.5;unconfirmed
554;Ziemniaki;100;87;1.7;0.1;19.9;unconfirmed
555;zeberka wieprzowe;100;324;15.2;29.3;0;unconfirmed
556;zoltko jaja kurzego;100;355;16.3;31.9;0.7;unconfirmed
557;zurawiny;100;51;0.4;0.1;12.2;unconfirmed
