id;name;grams;kcal;proteins;fat;carbs;status
97;Drozdzowka;100;321;6;9;50;unconfirmed
98;Dynia;100;39;1.3;0.3;7.7;unconfirmed
99;Dynia. pestki;100;582;24.5;45.8;18;unconfirmed
100;Dzem niskoslodzony;100;163;0.5;0;63;unconfirmed
101;Dzem wysokoslodzony;100;257;0.5;0.2;63.4;unconfirmed
102;Eklerka. ciastko;100;301;5;9;50;unconfirmed
103;Endywia;100;17;1.8;0.6;1;unconfirmed
104;Familijne. wafle;100;533;7.1;29.6;59.5;unconfirmed
105;Fasola biala. konserwa;100;87;4.5;0.2;16.7;unconfirmed
106;Fasola biala. ziarno suche;100;346;21.4;1.6;61.6;unconfirmed
107;Fasola czerwona Red Kidney. konserwa;100;104;6.9;0.6;17.8;unconfirmed
108;Fasola szparagowa;100;42;2.4;0.2;7.6;unconfirmed
109;Fasola szparagowa. konserwa;100;26;1.5;0.2;4.5;unconfirmed
110;Fasolka po bretonsku;100;158;6.1;8.7;13.7;unconfirmed
111;Ferrero Rocher. czekoladki;100;562;9;40.2;41;unconfirmed
112;Figi suszone;100;300;4;1.2;68.4;unconfirmed
113;Flaki wolowe. suche;100;84;16;2.2;0;unconfirmed
114;Flaki wolowe na rosole;100;71;4.6;4.2;3.7;unconfirmed
115;Fladra swieza;100;84;16.5;1.8;0;unconfirmed
116;Flora. margaryna;100;328;0.1;35;3.2;unconfirmed
117;Frytki mrozone;100;172;2.5;5.5;28;unconfirmed
118;Frytki z frytownicy;100;252;3;12;33;unconfirmed
119;Frytki z piekarnika;100;231;3.5;5;37;unconfirmed
120;Galaretka pomaranczowa;100;59;2.8;0;12;unconfirmed
121;Ges tuszka;100;343;14.1;31.8;0;unconfirmed
122;Gin;100;225;0;0;0;unconfirmed
123;Golden Nut. czekoladki;100;576;6;39;50.2;unconfirmed
124;Golonka ze skora wieprzowa;100;297;18.6;24.7;0;unconfirmed
125;Golabki w sosie pomidorowym;100;116;3.8;6.7;10;unconfirmed
126;Granat;100;65;2.4;0.4;13.2;unconfirmed
127;Grejfrut;100;43;0.6;0.2;9.8;unconfirmed
128;Groch. suche ziarno;100;349;23.8;1.4;60.4;unconfirmed
129;Groszek zielony;100;98;6.7;0.4;17;unconfirmed
130;Groszek zielony. konserwa;100;83;4.5;0.2;15.8;unconfirmed
131;Gruszka;100;62;0.6;0.2;14.4;unconfirmed
132;Gruszka suszona;100;329;0.7;0.5;80.4;unconfirmed
133;Grzeski. wafel;100;550;8.5;34.5;51.5;unconfirmed
134;Halibut swiezy;100;121;18.6;5.2;0;unconfirmed
135;Hamburger;100;268;11.4;9.5;34.3;unconfirmed
136;Hamburger Big Mac McDonald;100;273;11.4;15.1;22.8;unconfirmed
137;Hamburger McChicken McDonald;100;295;9.7;15.9;28.3;unconfirmed
138;Herbata;100;0;0.1;0;0;unconfirmed
139;Herbatniki;100;439;8.2;11;76.8;unconfirmed
140;Homary;100;85;18.8;0.9;0.5;unconfirmed
141;Indyk. piersi bez skory;100;109;21.3;2.6;0;unconfirmed
142;Indyk. skrzydlo bez skory;100;169;16.5;11.4;0;unconfirmed
143;Indyk. udo bez skory;100;118;19.5;4.4;0;unconfirmed
144;Irysy. cukierki;100;418;4.3;10.7;76.1;unconfirmed
145;Jablko;100;57;0.6;0.7;12.1;unconfirmed
146;Jablko suszone;100;332;1.5;1.1;78.9;unconfirmed
147;Jagodzianka. ciastko;100;322;7.1;5.5;61.1;unconfirmed
148;Jaja sadzone;100;181;10.1;15.2;0.9;unconfirmed
149;Jajecznica;100;131;10;9.7;0.8;unconfirmed
150;Jajo kurze. bialko;100;46;10.8;0;0.8;unconfirmed
151;Jajo kurze. cale;100;150;12.5;10.7;1;unconfirmed
152;Jajo kurze. zoltko;100;355;16.3;31.9;0.7;unconfirmed
153;Jagniecina;100;126;20.4;4.9;0;unconfirmed
154;Jagody;100;61;1.1;0.9;12.2;unconfirmed
155;Jalowcowka. wodka;100;225;0;0;0;unconfirmed
156;Jarmuz;100;29;3.3;0.7;6.1;unconfirmed
157;Jezyki. ciastka;100;457;5;21.3;61.2;unconfirmed
158;Jezyny;100;71;1.2;0.4;15.7;unconfirmed
159;Jogurt do picia Danonki;100;87;2.8;1.6;15.4;unconfirmed
160;Jogurt naturalny 0% tluszczu;100;42;4.2;0;6.2;unconfirmed
161;Jogurt naturalny 2% tluszczu;100;60;4.3;2;6.2;unconfirmed
162;Jogurt owocowy 1.5% tluszczu;100;84;3.9;1.5;13.7;unconfirmed
163;Jogurt owocowy 2.7% tluszczu;100;99;3.3;2.7;15.3;unconfirmed
164;Kabaczek;100;31;1;0.1;6.5;unconfirmed
165;Kabanosy;100;319;28;23;0;unconfirmed
166;Kaczka tuszka;100;311;13.5;28.6;0;unconfirmed
167;Kaczka dzika tuszka;100;121;22.7;3.1;0.5;unconfirmed
168;Kakao 16% tluszczu. proszek;100;425;18.2;15.8;52.6;unconfirmed
169;Kakao Nesquik. proszek;100;380;3.5;3;84.3;unconfirmed
170;Kalafior;100;31;2.4;0.2;5;unconfirmed
171;Kalarepa;100;33;1.7;0.1;6.2;unconfirmed
172;Kapusta biala;100;38;1.7;0.2;7.4;unconfirmed
173;Kapusta czerwona;100;45;1.9;0.2;9;unconfirmed
174;Kapusta kiszona;100;20;1.1;0.2;3.4;unconfirmed
175;Kapusta wloska;100;50;3.3;0.6;7.8;unconfirmed
176;Karczochy;100;57;3.3;0.2;10.5;unconfirmed
177;Karkowka wieprzowa;100;270;16.1;22.8;0;unconfirmed
178;Karp swiezy;100;122;17.8;5.6;0;unconfirmed
179;Kaszanka;100;274;9;19.5;14.5;unconfirmed
180;Kasza gryczana;100;359;12;3;70;unconfirmed
181;Kasza jaglana;100;355;10.5;2.9;71.6;unconfirmed
182;Kasza jeczmienna;100;358;8;2;74;unconfirmed
183;Kasza jeczmienna peczak;100;381;7.9;1.7;83.6;unconfirmed
184;Kasza kuskus;100;358;13;2;72;unconfirmed
185;Kasza manna;100;353;8.7;1.3;76.7;unconfirmed
