74;Czarne jagody;61;1.1;0.9;12.2;100;jedzenie;unconfirmed
75;Czekolada biala;544;4.5;30.3;63.2;100;jedzenie;unconfirmed
76;Czekolada deserowa;537;5.3;28.9;64;100;jedzenie;unconfirmed
77;Czekolada gorzka;505;8.2;34.9;38.7;100;jedzenie;unconfirmed
78;Czekolada mleczna;526;8;30.7;54.2;100;jedzenie;unconfirmed
79;Czekolada nadziewana;449;3.9;17.6;68.8;100;jedzenie;unconfirmed
80;Czekolada z orzechami;547;7.6;33.9;52.7;100;jedzenie;unconfirmed
81;Czekoladka Kinder Niespodzianka;560;9.5;35.3;51.5;100;jedzenie;unconfirmed
82;Czekoladki Ferrero Rocher;562;9;40.2;41;100;jedzenie;unconfirmed
83;Czekoladki Golden Nut;576;6;39;50.2;100;jedzenie;unconfirmed
84;Czekoladki Mon Cheri;421;3.2;19.7;57.8;100;jedzenie;unconfirmed
85;Czekoladki Raffaello;600;9.7;46.6;35.4;100;jedzenie;unconfirmed
86;Czekoladki Toffifee;535;6;31;58;100;jedzenie;unconfirmed
87;Czeresnie;55;1;0.5;11.6;100;jedzenie;unconfirmed
88;Czosnek;144;6.2;0.5;28.8;100;jedzenie;unconfirmed
89;Daktyle suszone ;316;2.2;0.6;75.4;100;jedzenie;unconfirmed
90;Danonki. jogurt do picia;87;2.8;1.6;15.4;100;jedzenie;unconfirmed
91;Delicje. ciastka;376;3.5;8.4;71.5;100;jedzenie;unconfirmed
92;Delma. margaryna;496;0;55;0.2;100;jedzenie;unconfirmed
93;Deser czekoladowy Monte;195;2.8;13.3;15.9;100;jedzenie;unconfirmed
94;Dorsz swiezy;69;16.5;0.3;0;100;jedzenie;unconfirmed
95;Dorsz wedzony;93;22.1;0.5;0;100;jedzenie;unconfirmed
96;Drazetki Tic Tac;390;0;0;97.5;100;jedzenie;unconfirmed
97;Drozdze piekarskie;132;11.3;2;14.5;100;jedzenie;unconfirmed
98;Drozdzowka;321;6;9;50;100;jedzenie;unconfirmed
99;Dynia;39;1.3;0.3;7.7;100;jedzenie;unconfirmed
100;Dynia. pestki;582;24.5;45.8;18;100;jedzenie;unconfirmed
101;Dzem niskoslodzony;163;0.5;0;63;100;jedzenie;unconfirmed
102;Dzem wysokoslodzony;257;0.5;0.2;63.4;100;jedzenie;unconfirmed
103;Eklerka. ciastko ;301;5;9;50;100;jedzenie;unconfirmed
104;Endywia;17;1.8;0.6;1;100;jedzenie;unconfirmed
105;Familijne. wafle;533;7.1;29.6;59.5;100;jedzenie;unconfirmed
106;Fasola biala. konserwa;87;4.5;0.2;16.7;100;jedzenie;unconfirmed
107;Fasola biala. ziarno suche ;346;21.4;1.6;61.6;100;jedzenie;unconfirmed
108;Fasola czerwona Red Kidney. konserwa;104;6.9;0.6;17.8;100;jedzenie;unconfirmed
109;Fasola szparagowa;42;2.4;0.2;7.6;100;jedzenie;unconfirmed
110;Fasola szparagowa. konserwa;26;1.5;0.2;4.5;100;jedzenie;unconfirmed
111;Fasolka po bretonsku;158;6.1;8.7;13.7;100;jedzenie;unconfirmed
112;Ferrero Rocher. czekoladki;562;9;40.2;41;100;jedzenie;unconfirmed
113;Figi suszone;300;4;1.2;68.4;100;jedzenie;unconfirmed
114;Flaki wolowe. suche;84;16;2.2;0;100;jedzenie;unconfirmed
115;Flaki wolowe na rosole;71;4.6;4.2;3.7;100;jedzenie;unconfirmed
116;Fladra swieza;84;16.5;1.8;0;100;jedzenie;unconfirmed
117;Flora. margaryna;328;0.1;35;3.2;100;jedzenie;unconfirmed
118;Frytki mrozone;172;2.5;5.5;28;100;jedzenie;unconfirmed
119;Frytki z frytownicy;252;3;12;33;100;jedzenie;unconfirmed
120;Frytki z piekarnika;231;3.5;5;37;100;jedzenie;unconfirmed
121;Galaretka pomaranczowa;59;2.8;0;12;100;jedzenie;unconfirmed
122;Ges tuszka;343;14.1;31.8;0;100;jedzenie;unconfirmed
123;Gin;225;0;0;0;100;jedzenie;unconfirmed
124;Golden Nut. czekoladki;576;6;39;50.2;100;jedzenie;unconfirmed
125;Golonka ze skora wieprzowa;297;18.6;24.7;0;100;jedzenie;unconfirmed
126;Golabki w sosie pomidorowym;116;3.8;6.7;10;100;jedzenie;unconfirmed
127;Granat;65;2.4;0.4;13.2;100;jedzenie;unconfirmed
128;Grejfrut;43;0.6;0.2;9.8;100;jedzenie;unconfirmed
129;Groch. suche ziarno;349;23.8;1.4;60.4;100;jedzenie;unconfirmed
130;Groszek zielony;98;6.7;0.4;17;100;jedzenie;unconfirmed
131;Groszek zielony. konserwa;83;4.5;0.2;15.8;100;jedzenie;unconfirmed
132;Gruszka;62;0.6;0.2;14.4;100;jedzenie;unconfirmed
133;Gruszka suszona;329;0.7;0.5;80.4;100;jedzenie;unconfirmed
134;Grzeski. wafel;550;8.5;34.5;51.5;100;jedzenie;unconfirmed
135;Halibut swiezy;121;18.6;5.2;0;100;jedzenie;unconfirmed
136;Hamburger;268;11.4;9.5;34.3;100;jedzenie;unconfirmed
137;Hamburger Big Mac McDonald;273;11.4;15.1;22.8;100;jedzenie;unconfirmed
138;Hamburger McChicken McDonald;295;9.7;15.9;28.3;100;jedzenie;unconfirmed
139;Herbata;0;0.1;0;0;100;jedzenie;unconfirmed
140;Herbatniki;439;8.2;11;76.8;100;jedzenie;unconfirmed
141;Homary;85;18.8;0.9;0.5;100;jedzenie;unconfirmed
142;Indyk. piersi bez skory;109;21.3;2.6;0;100;jedzenie;unconfirmed
143;Indyk. skrzydlo bez skory;169;16.5;11.4;0;100;jedzenie;unconfirmed
144;Indyk. udo bez skory;118;19.5;4.4;0;100;jedzenie;unconfirmed
145;Irysy. cukierki;418;4.3;10.7;76.1;100;jedzenie;unconfirmed
146;Jablko;57;0.6;0.7;12.1;100;jedzenie;unconfirmed
147;Jablko suszone;332;1.5;1.1;78.9;100;jedzenie;unconfirmed
148;Jagodzianka. ciastko;322;7.1;5.5;61.1;100;jedzenie;unconfirmed
149;Jaja sadzone;181;10.1;15.2;0.9;100;jedzenie;unconfirmed
150;Jajecznica;131;10;9.7;0.8;100;jedzenie;unconfirmed
151;Jajo kurze. bialko;46;10.8;0;0.8;100;jedzenie;unconfirmed
152;Jajo kurze. cale;150;12.5;10.7;1;100;jedzenie;unconfirmed
153;Jajo kurze. zoltko;355;16.3;31.9;0.7;100;jedzenie;unconfirmed
154;Jagniecina;126;20.4;4.9;0;100;jedzenie;unconfirmed
155;Jagody;61;1.1;0.9;12.2;100;jedzenie;unconfirmed
156;Jalowcowka. wodka;225;0;0;0;100;jedzenie;unconfirmed
157;Jarmuz;29;3.3;0.7;6.1;100;jedzenie;unconfirmed
158;Jezyki. ciastka;457;5;21.3;61.2;100;jedzenie;unconfirmed
159;Jezyny;71;1.2;0.4;15.7;100;jedzenie;unconfirmed
160;Jogurt do picia Danonki;87;2.8;1.6;15.4;100;jedzenie;unconfirmed
161;Jogurt naturalny 0% tluszczu;42;4.2;0;6.2;100;jedzenie;unconfirmed
162;Jogurt naturalny 2% tluszczu;60;4.3;2;6.2;100;jedzenie;unconfirmed
163;Jogurt owocowy 1.5% tluszczu;84;3.9;1.5;13.7;100;jedzenie;unconfirmed
164;Jogurt owocowy 2.7% tluszczu;99;3.3;2.7;15.3;100;jedzenie;unconfirmed
165;Kabaczek;31;1;0.1;6.5;100;jedzenie;unconfirmed
166;Kabanosy;319;28;23;0;100;jedzenie;unconfirmed
167;Kaczka tuszka;311;13.5;28.6;0;100;jedzenie;unconfirmed
168;Kaczka dzika tuszka;121;22.7;3.1;0.5;100;jedzenie;unconfirmed
169;Kakao 16% tluszczu. proszek;425;18.2;15.8;52.6;100;jedzenie;unconfirmed
170;Kakao Nesquik. proszek;380;3.5;3;84.3;100;jedzenie;unconfirmed
171;Kalafior;31;2.4;0.2;5;100;jedzenie;unconfirmed
172;Kalarepa;33;1.7;0.1;6.2;100;jedzenie;unconfirmed
173;Kapusta biala;38;1.7;0.2;7.4;100;jedzenie;unconfirmed
174;Kapusta czerwona;45;1.9;0.2;9;100;jedzenie;unconfirmed
175;Kapusta kiszona;20;1.1;0.2;3.4;100;jedzenie;unconfirmed
176;Kapusta wloska;50;3.3;0.6;7.8;100;jedzenie;unconfirmed
177;Karczochy;57;3.3;0.2;10.5;100;jedzenie;unconfirmed
178;Karkowka wieprzowa;270;16.1;22.8;0;100;jedzenie;unconfirmed
179;Karp swiezy;122;17.8;5.6;0;100;jedzenie;unconfirmed
180;Kaszanka;274;9;19.5;14.5;100;jedzenie;unconfirmed
181;Kasza gryczana;359;12;3;70;100;jedzenie;unconfirmed
182;Kasza jaglana;355;10.5;2.9;71.6;100;jedzenie;unconfirmed
183;Kasza jeczmienna;358;8;2;74;100;jedzenie;unconfirmed
